[2025-05-09 02:50:59] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,2.5]_seed=660969
[2025-05-09 02:50:59] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 50, 'particles': 20, 'cmode': 2, 'c1_start': 2.5, 'c1_end': 0.5, 'c2_start': 0.5, 'c2_end': 2.5, 'seed': 660969, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 02:50:59] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,2.5]_seed=660969'], 'id': 'well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,2.5]_seed=660969'}
[2025-05-09 02:50:59] Using random seed: 660969
[2025-05-09 02:51:03] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 02:51:03] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 02:51:03] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 02:51:03] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 02:51:03] Data range: 0 to 80
[2025-05-09 02:51:03] Best of swarm: 2.0723745381290115
[2025-05-09 02:51:04] Best of swarm: 9.111386694919134e-07
[2025-05-09 02:51:04] Best of swarm: 7.971176749886458e-07
[2025-05-09 02:51:05] Best of swarm: 5.964788906250604e-08
[2025-05-09 02:51:06] Best of swarm: 2.8622751903816037e-09
[2025-05-09 02:51:07] Best of swarm: 3.0532829321475706e-08
[2025-05-09 02:51:08] Best of swarm: 1.8046548578892858
[2025-05-09 02:51:08] Best of swarm: 3.5459382336167155e-05
[2025-05-09 02:51:09] Best of swarm: 8.928250140587508e-08
[2025-05-09 02:51:09] Best of swarm: 6.649655363189278e-07
[2025-05-09 02:51:10] Best of swarm: 2.3682644237651715e-05
[2025-05-09 02:51:12] Best of swarm: 4.453860004764625e-08
[2025-05-09 02:51:12] Best of swarm: 2.4157690022609932
[2025-05-09 02:51:12] Best of swarm: 0.0009993144581792852
[2025-05-09 02:51:13] Best of swarm: 0.0009993588427649543
[2025-05-09 02:51:14] Best of swarm: 0.000999080043516464
[2025-05-09 02:51:14] Best of swarm: 0.0009992487627967371
[2025-05-09 02:51:16] Best of swarm: 0.0009993137733404444
[2025-05-09 02:51:16] Best of swarm: 1.4679125982677055
[2025-05-09 02:51:16] Best of swarm: 5.534872010688866e-07
[2025-05-09 02:51:17] Best of swarm: 1.5895798524785943e-06
[2025-05-09 02:51:18] Best of swarm: 2.7623694020315047e-05
[2025-05-09 02:51:18] Best of swarm: 2.2549181545764492e-07
[2025-05-09 02:51:20] Best of swarm: 2.1149304556210438e-05
[2025-05-09 02:51:20] Best of swarm: 1.4428200101336806
[2025-05-09 02:51:20] Best of swarm: 3.054797947445262e-05
[2025-05-09 02:51:21] Best of swarm: 1.5293190209584907e-05
[2025-05-09 02:51:22] Best of swarm: 1.8084198496437e-07
[2025-05-09 02:51:22] Best of swarm: 1.4123078118494992e-06
[2025-05-09 02:51:24] Best of swarm: 7.575264493364829e-09
[2025-05-09 02:51:24] Best of swarm: 1.9273058916602177
[2025-05-09 02:51:24] Best of swarm: 3.3747019537572225e-07
[2025-05-09 02:51:25] Best of swarm: 2.9817495170096323e-10
[2025-05-09 02:51:26] Best of swarm: 1.5132304668401459e-06
[2025-05-09 02:51:26] Best of swarm: 2.8489168480900246e-07
[2025-05-09 02:51:28] Best of swarm: 1.3385298079629828e-07
[2025-05-09 02:51:28] Best of swarm: 2.1370768476856217
[2025-05-09 02:51:29] Best of swarm: 2.6230757730355043e-08
[2025-05-09 02:51:29] Best of swarm: 1.3067750678024447e-10
[2025-05-09 02:51:30] Best of swarm: 1.4756884677898762e-05
[2025-05-09 02:51:31] Best of swarm: 2.787694517013572e-07
[2025-05-09 02:51:32] Best of swarm: 9.272727678231744e-10
[2025-05-09 02:51:33] Best of swarm: 2.3121465957113188
[2025-05-09 02:51:33] Best of swarm: 2.211213649916815e-12
[2025-05-09 02:51:34] Best of swarm: 4.357082664744361e-06
[2025-05-09 02:51:34] Best of swarm: 4.396734442766268e-12
[2025-05-09 02:51:35] Best of swarm: 4.364354407649135e-06
[2025-05-09 02:51:37] Best of swarm: 4.333105470189118e-06
[2025-05-09 02:51:37] Best of swarm: 2.368134509831766
[2025-05-09 02:51:37] Best of swarm: 0.0002628268486165779
[2025-05-09 02:51:38] Best of swarm: 0.0002628496111464733
[2025-05-09 02:51:39] Best of swarm: 0.000262709730947219
[2025-05-09 02:51:39] Best of swarm: 0.0002627931577762168
[2025-05-09 02:51:41] Best of swarm: 0.0002627117404789665
[2025-05-09 02:51:41] Best of swarm: 2.2361446844634894
[2025-05-09 02:51:41] Best of swarm: 1.885403090018708e-07
[2025-05-09 02:51:42] Best of swarm: 2.4673456845974293e-08
[2025-05-09 02:51:43] Best of swarm: 9.40678893852807e-08
[2025-05-09 02:51:43] Best of swarm: 4.459152221488785e-10
[2025-05-09 02:51:45] Best of swarm: 2.6140901908926826e-08
[2025-05-09 02:51:45] Best of swarm: 2.148201533349977
[2025-05-09 02:51:45] Best of swarm: 9.223487763915542e-06
[2025-05-09 02:51:46] Best of swarm: 7.195717372621087e-07
[2025-05-09 02:51:47] Best of swarm: 1.3493633138665274e-06
[2025-05-09 02:51:47] Best of swarm: 4.498765155807447e-07
[2025-05-09 02:51:49] Best of swarm: 1.6246058333303392e-08
[2025-05-09 02:51:49] Best of swarm: 2.08708420731012
[2025-05-09 02:51:50] Best of swarm: 3.577928607748572e-08
[2025-05-09 02:51:50] Best of swarm: 2.942621012327325e-09
[2025-05-09 02:51:51] Best of swarm: 1.1609463362134109e-07
[2025-05-09 02:51:52] Best of swarm: 6.412299150394053e-07
[2025-05-09 02:51:53] Best of swarm: 1.2279556836566114e-08
[2025-05-09 02:51:54] Best of swarm: 1.7412766750441142
[2025-05-09 02:51:54] Best of swarm: 2.5616198157381854e-08
[2025-05-09 02:51:55] Best of swarm: 4.7333605804367166e-07
[2025-05-09 02:51:55] Best of swarm: 5.691371667918173e-06
[2025-05-09 02:51:56] Best of swarm: 5.656219803269197e-05
[2025-05-09 02:51:58] Best of swarm: 1.2530224565533283e-07
[2025-05-09 02:51:58] Best of swarm: 1.9852089430423632
[2025-05-09 02:51:58] Best of swarm: 5.062263757893576e-07
[2025-05-09 02:51:59] Best of swarm: 1.527081190838772e-08
[2025-05-09 02:51:59] Best of swarm: 7.794817196400639e-08
[2025-05-09 02:52:00] Best of swarm: 8.083536545594145e-09
[2025-05-09 02:52:02] Best of swarm: 5.068333462483906e-08
[2025-05-09 02:52:02] Best of swarm: 2.2830437266645265
[2025-05-09 02:52:02] Best of swarm: 2.0019510049812014e-07
[2025-05-09 02:52:03] Best of swarm: 7.362191629301633e-09
[2025-05-09 02:52:04] Best of swarm: 9.44731366157573e-08
[2025-05-09 02:52:04] Best of swarm: 1.5162912739100835e-07
[2025-05-09 02:52:06] Best of swarm: 3.4599557626729696e-08
[2025-05-09 02:52:06] Best of swarm: 2.310626271281798
[2025-05-09 02:52:06] Best of swarm: 4.5624279267844886e-08
[2025-05-09 02:52:07] Best of swarm: 6.680290238404023e-06
[2025-05-09 02:52:08] Best of swarm: 6.697805493682453e-06
[2025-05-09 02:52:08] Best of swarm: 6.701653542239346e-06
[2025-05-09 02:52:10] Best of swarm: 1.6034066502673987e-08
[2025-05-09 02:52:10] Best of swarm: 1.8615175839291427
[2025-05-09 02:52:10] Best of swarm: 1.030489465645274e-08
[2025-05-09 02:52:11] Best of swarm: 2.688634370391363e-06
[2025-05-09 02:52:12] Best of swarm: 2.5110080511587923e-06
[2025-05-09 02:52:12] Best of swarm: 7.751113177461609e-08
[2025-05-09 02:52:14] Best of swarm: 1.3958219297969754e-07
[2025-05-09 02:52:14] Best of swarm: 1.692274281380051
[2025-05-09 02:52:15] Best of swarm: 2.0442867053555355e-07
[2025-05-09 02:52:15] Best of swarm: 4.867482057941072e-07
[2025-05-09 02:52:16] Best of swarm: 6.116251123596484e-05
[2025-05-09 02:52:16] Best of swarm: 3.418653431223321e-08
