[2025-05-08 17:39:59] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.0,1.0]_c2=[1.0,2.0]_seed=393343
[2025-05-08 17:39:59] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 50, 'particles': 20, 'cmode': 2, 'c1_start': 2.0, 'c1_end': 1.0, 'c2_start': 1.0, 'c2_end': 2.0, 'seed': 393343, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-08 17:39:59] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.0,1.0]_c2=[1.0,2.0]_seed=393343'], 'id': 'well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.0,1.0]_c2=[1.0,2.0]_seed=393343'}
[2025-05-08 17:39:59] Using random seed: 393343
[2025-05-08 17:40:04] HORIZONTE: (2943.6, 3089.8)
[2025-05-08 17:40:04] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-08 17:40:04] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-08 17:40:04] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-08 17:40:04] Data range: 0 to 80
[2025-05-08 17:40:04] Best of swarm: 2.0723745381290115
[2025-05-08 17:40:04] Best of swarm: 7.942986400529906e-08
[2025-05-08 17:40:05] Best of swarm: 2.2506956561221453e-07
[2025-05-08 17:40:06] Best of swarm: 3.77469348054522e-06
[2025-05-08 17:40:07] Best of swarm: 3.1068366456030234e-06
[2025-05-08 17:40:09] Best of swarm: 3.559800189817499e-07
[2025-05-08 17:40:09] Best of swarm: 1.8046548578892858
[2025-05-08 17:40:09] Best of swarm: 2.0139668510826804e-06
[2025-05-08 17:40:10] Best of swarm: 5.667486562003893e-06
[2025-05-08 17:40:11] Best of swarm: 1.2122788249428135e-08
[2025-05-08 17:40:12] Best of swarm: 2.549063370565187e-07
[2025-05-08 17:40:14] Best of swarm: 7.64295536915741e-06
[2025-05-08 17:40:14] Best of swarm: 2.4157690022609932
[2025-05-08 17:40:15] Best of swarm: 0.0009990973335583634
[2025-05-08 17:40:15] Best of swarm: 0.0009991304447999093
[2025-05-08 17:40:16] Best of swarm: 0.0009993177928665
[2025-05-08 17:40:17] Best of swarm: 0.0009990786694613586
[2025-05-08 17:40:19] Best of swarm: 0.0009993137733404444
[2025-05-08 17:40:19] Best of swarm: 1.4679125982677055
[2025-05-08 17:40:20] Best of swarm: 1.346856724670068e-05
[2025-05-08 17:40:20] Best of swarm: 0.00019307967566377254
[2025-05-08 17:40:22] Best of swarm: 2.5927071518204036e-05
[2025-05-08 17:40:22] Best of swarm: 6.175266900452471e-06
[2025-05-08 17:40:25] Best of swarm: 9.9489246311834e-05
[2025-05-08 17:40:25] Best of swarm: 1.4428200101336806
[2025-05-08 17:40:25] Best of swarm: 9.913247597942627e-06
[2025-05-08 17:40:26] Best of swarm: 8.46088255009282e-06
[2025-05-08 17:40:27] Best of swarm: 9.007964092044514e-05
[2025-05-08 17:40:28] Best of swarm: 8.074262090006847e-06
