[2025-05-09 03:11:54] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=linear_c1=[2.5,1.5]_c2=[1.0,2.0]_seed=666001
[2025-05-09 03:11:54] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 50, 'particles': 20, 'cmode': 1, 'c1_start': 2.5, 'c1_end': 1.5, 'c2_start': 1.0, 'c2_end': 2.0, 'seed': 666001, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 03:11:54] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=linear_c1=[2.5,1.5]_c2=[1.0,2.0]_seed=666001'], 'id': 'well=RO_31A_facies=7_iter=50_p=20_cmode=linear_c1=[2.5,1.5]_c2=[1.0,2.0]_seed=666001'}
[2025-05-09 03:11:54] Using random seed: 666001
[2025-05-09 03:11:57] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 03:11:57] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 03:11:57] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 03:11:57] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 03:11:57] Data range: 0 to 80
[2025-05-09 03:12:53] Best of swarm: 1.9852089430423632
[2025-05-09 03:12:53] Best of swarm: 1.1891070179780044e-07
[2025-05-09 03:12:54] Best of swarm: 7.955667638006525e-08
[2025-05-09 03:12:55] Best of swarm: 7.422739174748497e-08
[2025-05-09 03:12:55] Best of swarm: 4.005361410000589e-06
[2025-05-09 03:12:57] Best of swarm: 8.49079308748892e-06
[2025-05-09 03:12:57] Best of swarm: 2.2830437266645265
[2025-05-09 03:12:57] Best of swarm: 3.6172446675604435e-08
[2025-05-09 03:12:58] Best of swarm: 4.784069066588418e-10
[2025-05-09 03:12:59] Best of swarm: 0.00013660962171904275
[2025-05-09 03:12:59] Best of swarm: 3.098437879584054e-10
[2025-05-09 03:13:01] Best of swarm: 0.0001366111078781268
[2025-05-09 03:13:01] Best of swarm: 2.310626271281798
[2025-05-09 03:13:01] Best of swarm: 3.839228149102074e-09
[2025-05-09 03:13:02] Best of swarm: 6.694445274534037e-06
[2025-05-09 03:13:03] Best of swarm: 6.596805180903564e-06
[2025-05-09 03:13:03] Best of swarm: 6.655838507050357e-06
[2025-05-09 03:13:05] Best of swarm: 4.442984194744455e-09
[2025-05-09 03:13:05] Best of swarm: 1.8615175839291427
[2025-05-09 03:13:06] Best of swarm: 1.0287680509133837e-06
[2025-05-09 03:13:06] Best of swarm: 1.1306420605624007e-05
[2025-05-09 03:13:07] Best of swarm: 7.270997852193682e-05
[2025-05-09 03:13:08] Best of swarm: 1.443698225067859e-11
[2025-05-09 03:13:09] Best of swarm: 0.00026603773790028146
[2025-05-09 03:13:10] Best of swarm: 1.692274281380051
[2025-05-09 03:13:10] Best of swarm: 2.2954950111606885e-07
[2025-05-09 03:13:11] Best of swarm: 5.599753714191798e-05
[2025-05-09 03:13:11] Best of swarm: 4.357393306152276e-08
[2025-05-09 03:13:12] Best of swarm: 4.089640292846339e-08
[2025-05-09 03:13:14] Best of swarm: 3.6624763306462743e-06
[2025-05-09 03:13:14] Best of swarm: 1.692274281380051
[2025-05-09 03:13:14] Best of swarm: 1.4498578917416514e-09
[2025-05-09 03:13:15] Best of swarm: 1.2355682779600256e-05
[2025-05-09 03:13:16] Best of swarm: 2.833922056557746e-09
[2025-05-09 03:13:16] Best of swarm: 0.0001533941352960794
[2025-05-09 03:13:18] Best of swarm: 4.033733358348451e-06
[2025-05-09 03:13:18] Best of swarm: 1.4844362505091833
[2025-05-09 03:13:18] Best of swarm: 5.606803989727785e-06
[2025-05-09 03:13:19] Best of swarm: 4.6724244722392934e-07
[2025-05-09 03:13:20] Best of swarm: 2.4293785671667447e-05
[2025-05-09 03:13:20] Best of swarm: 1.2515149512493546e-07
[2025-05-09 03:13:22] Best of swarm: 6.591840457123649e-05
[2025-05-09 03:13:22] Best of swarm: 1.5469748315288199
[2025-05-09 03:13:23] Best of swarm: 6.6895933867907455e-09
[2025-05-09 03:13:23] Best of swarm: 0.00013106155223549824
[2025-05-09 03:13:24] Best of swarm: 1.8738269458940518e-07
[2025-05-09 03:13:25] Best of swarm: 2.721219657763012e-05
[2025-05-09 03:13:26] Best of swarm: 0.000367602203296991
[2025-05-09 03:13:27] Best of swarm: 1.6001603073404849
[2025-05-09 03:13:27] Best of swarm: 5.163142878642747e-05
[2025-05-09 03:13:28] Best of swarm: 2.012278022855751e-05
[2025-05-09 03:13:28] Best of swarm: 8.538893506624542e-07
[2025-05-09 03:13:29] Best of swarm: 0.0004313250678449947
[2025-05-09 03:13:31] Best of swarm: 9.817730459466574e-06
[2025-05-09 03:13:31] Best of swarm: 1.6439712677159868
[2025-05-09 03:13:31] Best of swarm: 0.00040738070501945573
[2025-05-09 03:13:32] Best of swarm: 0.00010593776034571431
[2025-05-09 03:13:33] Best of swarm: 9.226840668039828e-06
[2025-05-09 03:13:33] Best of swarm: 9.458479304003127e-06
[2025-05-09 03:13:35] Best of swarm: 1.1533522121118038e-06
[2025-05-09 03:13:35] Best of swarm: 1.8751863282243466
[2025-05-09 03:13:35] Best of swarm: 1.7377465661633357e-06
[2025-05-09 03:13:36] Best of swarm: 6.310484716867322e-06
[2025-05-09 03:13:37] Best of swarm: 1.3048552575283516e-06
[2025-05-09 03:13:37] Best of swarm: 2.7358598497813014e-06
[2025-05-09 03:13:39] Best of swarm: 9.428284434893407e-06
[2025-05-09 03:13:39] Best of swarm: 2.0537023205452463
[2025-05-09 03:13:40] Best of swarm: 1.5908801948005795e-05
[2025-05-09 03:13:40] Best of swarm: 1.5437475593147506e-06
[2025-05-09 03:13:41] Best of swarm: 7.937858179347667e-05
[2025-05-09 03:13:42] Best of swarm: 8.905318246168494e-07
[2025-05-09 03:13:43] Best of swarm: 3.600378861743093e-05
[2025-05-09 03:13:44] Best of swarm: 1.8240512896743788
[2025-05-09 03:13:44] Best of swarm: 9.3993232308402e-08
[2025-05-09 03:13:45] Best of swarm: 5.847908492914011e-06
[2025-05-09 03:13:45] Best of swarm: 2.5150852367598932e-06
[2025-05-09 03:13:46] Best of swarm: 1.4565717958870185e-05
[2025-05-09 03:13:48] Best of swarm: 3.007955741037623e-07
[2025-05-09 03:13:48] Best of swarm: 1.827564473191132
[2025-05-09 03:13:48] Best of swarm: 7.965539293991735e-07
[2025-05-09 03:13:49] Best of swarm: 4.3037501208143405e-06
[2025-05-09 03:13:50] Best of swarm: 6.783539752401776e-05
[2025-05-09 03:13:50] Best of swarm: 2.257750756224654e-08
[2025-05-09 03:13:52] Best of swarm: 7.684835331753324e-07
[2025-05-09 03:13:52] Best of swarm: 1.7949955219967386
[2025-05-09 03:13:52] Best of swarm: 2.0390958436749285e-06
[2025-05-09 03:13:53] Best of swarm: 0.0019566198968567396
[2025-05-09 03:13:54] Best of swarm: 1.4329827637547361e-05
[2025-05-09 03:13:54] Best of swarm: 3.5319931770918436e-05
[2025-05-09 03:13:56] Best of swarm: 2.386018923596527e-07
[2025-05-09 03:13:56] Best of swarm: 1.7672363738627137
[2025-05-09 03:13:56] Best of swarm: 4.715351754053242e-05
[2025-05-09 03:13:57] Best of swarm: 2.4535079078315355e-06
[2025-05-09 03:13:58] Best of swarm: 8.24537088625026e-05
[2025-05-09 03:13:58] Best of swarm: 1.1570155335546908e-06
