[2025-05-09 02:39:13] Starting experiment well=RO_31A_facies=7_iter=50_p=10_cmode=exponential_c1=[2.0,1.0]_c2=[0.5,1.5]_seed=732668
[2025-05-09 02:39:13] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 50, 'particles': 10, 'cmode': 2, 'c1_start': 2.0, 'c1_end': 1.0, 'c2_start': 0.5, 'c2_end': 1.5, 'seed': 732668, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 02:39:13] Starting experiment well=RO_31A_facies=7_iter=50_p=10_cmode=exponential_c1=[2.0,1.0]_c2=[0.5,1.5]_seed=732668'], 'id': 'well=RO_31A_facies=7_iter=50_p=10_cmode=exponential_c1=[2.0,1.0]_c2=[0.5,1.5]_seed=732668'}
[2025-05-09 02:39:13] Using random seed: 732668
[2025-05-09 02:39:16] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 02:39:16] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 02:39:16] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 02:39:16] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 02:39:16] Data range: 0 to 80
[2025-05-09 02:39:16] Best of swarm: 2.0723745381290115
[2025-05-09 02:39:16] Best of swarm: 3.222446000427396e-07
[2025-05-09 02:39:17] Best of swarm: 1.470323431404649e-07
[2025-05-09 02:39:17] Best of swarm: 3.5406801713791295e-07
[2025-05-09 02:39:17] Best of swarm: 1.2739886201621812e-08
[2025-05-09 02:39:18] Best of swarm: 1.8993887291449467e-08
[2025-05-09 02:39:18] Best of swarm: 1.8046548578892858
[2025-05-09 02:39:19] Best of swarm: 1.1292912860461412e-07
[2025-05-09 02:39:19] Best of swarm: 1.8870378810829895e-07
[2025-05-09 02:39:19] Best of swarm: 1.5949573922060706e-06
[2025-05-09 02:39:19] Best of swarm: 3.3775230426668053e-06
[2025-05-09 02:39:20] Best of swarm: 1.0600318294687758e-07
[2025-05-09 02:39:21] Best of swarm: 2.4157690022609932
[2025-05-09 02:39:21] Best of swarm: 0.0009990843983688734
[2025-05-09 02:39:21] Best of swarm: 0.0009993588427649543
[2025-05-09 02:39:21] Best of swarm: 0.0009993177928665
[2025-05-09 02:39:22] Best of swarm: 0.000999115217420964
[2025-05-09 02:39:23] Best of swarm: 0.0009993137733404444
[2025-05-09 02:39:23] Best of swarm: 1.4679125982677055
[2025-05-09 02:39:23] Best of swarm: 2.1067593609359713e-06
[2025-05-09 02:39:23] Best of swarm: 5.199484024481285e-06
[2025-05-09 02:39:24] Best of swarm: 9.388962698250153e-05
[2025-05-09 02:39:24] Best of swarm: 7.998744387696754e-06
[2025-05-09 02:39:25] Best of swarm: 1.0534503172572195e-09
[2025-05-09 02:39:25] Best of swarm: 1.4428200101336806
[2025-05-09 02:39:25] Best of swarm: 6.204626372489353e-07
[2025-05-09 02:39:25] Best of swarm: 8.03259010175189e-06
[2025-05-09 02:39:26] Best of swarm: 1.4841673076073755e-05
[2025-05-09 02:39:26] Best of swarm: 3.534218932642547e-08
[2025-05-09 02:39:27] Best of swarm: 1.5272718787855777e-07
[2025-05-09 02:39:27] Best of swarm: 1.9273058916602177
[2025-05-09 02:39:27] Best of swarm: 1.949833237520043e-06
[2025-05-09 02:39:27] Best of swarm: 1.484905560319348e-06
[2025-05-09 02:39:28] Best of swarm: 5.569754626979114e-07
[2025-05-09 02:39:28] Best of swarm: 3.727689268786847e-07
[2025-05-09 02:39:29] Best of swarm: 6.131741524511021e-08
[2025-05-09 02:39:29] Best of swarm: 2.1370768476856217
[2025-05-09 02:39:29] Best of swarm: 3.947013502719172e-09
[2025-05-09 02:39:30] Best of swarm: 8.808851562592397e-10
[2025-05-09 02:39:30] Best of swarm: 4.2730611305471314e-08
[2025-05-09 02:39:30] Best of swarm: 1.855704397961698e-08
[2025-05-09 02:39:31] Best of swarm: 2.4402965276619435e-07
[2025-05-09 02:39:31] Best of swarm: 2.3121465957113188
[2025-05-09 02:39:31] Best of swarm: 7.096641904278571e-09
[2025-05-09 02:39:32] Best of swarm: 4.357082664744361e-06
[2025-05-09 02:39:32] Best of swarm: 4.310529642206085e-06
[2025-05-09 02:39:32] Best of swarm: 4.364354407649135e-06
[2025-05-09 02:39:33] Best of swarm: 4.360059112266837e-06
[2025-05-09 02:39:33] Best of swarm: 2.368134509831766
[2025-05-09 02:39:33] Best of swarm: 0.0002628268486165779
[2025-05-09 02:39:34] Best of swarm: 0.0002628496111464733
[2025-05-09 02:39:34] Best of swarm: 0.0002628285587863548
[2025-05-09 02:39:34] Best of swarm: 0.0002627931577762168
[2025-05-09 02:39:35] Best of swarm: 0.0002627284339670227
[2025-05-09 02:39:35] Best of swarm: 2.2361446844634894
[2025-05-09 02:39:35] Best of swarm: 2.203172016944797e-07
[2025-05-09 02:39:36] Best of swarm: 1.0060887224466389e-07
[2025-05-09 02:39:36] Best of swarm: 1.0232171524402475e-06
[2025-05-09 02:39:36] Best of swarm: 3.3274954096813956e-10
[2025-05-09 02:39:37] Best of swarm: 3.3917190234104778e-09
[2025-05-09 02:39:37] Best of swarm: 2.148201533349977
[2025-05-09 02:39:38] Best of swarm: 1.084765651855345e-08
[2025-05-09 02:39:38] Best of swarm: 8.365363165119268e-07
[2025-05-09 02:39:38] Best of swarm: 4.5496437286745775e-08
[2025-05-09 02:39:39] Best of swarm: 2.2482912313966653e-06
[2025-05-09 02:39:39] Best of swarm: 1.0954257201113374e-09
[2025-05-09 02:39:40] Best of swarm: 2.08708420731012
[2025-05-09 02:39:40] Best of swarm: 7.597137431261806e-07
[2025-05-09 02:39:40] Best of swarm: 1.212832582955485e-08
[2025-05-09 02:39:40] Best of swarm: 2.357444749532725e-08
[2025-05-09 02:39:41] Best of swarm: 3.1042277957181497e-07
[2025-05-09 02:39:42] Best of swarm: 1.2786404936001e-08
[2025-05-09 02:39:42] Best of swarm: 1.7412766750441142
[2025-05-09 02:39:42] Best of swarm: 0.0002950594428057349
[2025-05-09 02:39:42] Best of swarm: 1.4173054707815209e-08
[2025-05-09 02:39:43] Best of swarm: 4.746425178961587e-08
[2025-05-09 02:39:43] Best of swarm: 7.556600466686992e-06
[2025-05-09 02:39:44] Best of swarm: 1.8477944496544427e-05
[2025-05-09 02:39:44] Best of swarm: 1.9852089430423632
[2025-05-09 02:39:44] Best of swarm: 2.7027544436445974e-08
[2025-05-09 02:39:44] Best of swarm: 3.3325651506477475e-07
[2025-05-09 02:39:45] Best of swarm: 7.487844364533032e-05
[2025-05-09 02:39:45] Best of swarm: 2.2609897878642403e-08
[2025-05-09 02:39:46] Best of swarm: 3.0841245828096507e-08
[2025-05-09 02:39:46] Best of swarm: 2.2830437266645265
[2025-05-09 02:39:46] Best of swarm: 1.186401490241598e-08
[2025-05-09 02:39:46] Best of swarm: 3.57014511581106e-08
[2025-05-09 02:39:47] Best of swarm: 0.00013660962171904275
[2025-05-09 02:39:47] Best of swarm: 2.1416328244720195e-07
[2025-05-09 02:39:48] Best of swarm: 0.0001366111078781268
[2025-05-09 02:39:48] Best of swarm: 2.310626271281798
[2025-05-09 02:39:48] Best of swarm: 1.9128291892096075e-11
[2025-05-09 02:39:49] Best of swarm: 3.515645644137743e-11
[2025-05-09 02:39:49] Best of swarm: 2.9582498693488624e-07
[2025-05-09 02:39:49] Best of swarm: 1.9851130377206568e-10
[2025-05-09 02:39:50] Best of swarm: 6.6981345688225735e-06
[2025-05-09 02:39:50] Best of swarm: 1.8615175839291427
[2025-05-09 02:39:50] Best of swarm: 5.661895513871807e-07
[2025-05-09 02:39:51] Best of swarm: 5.241281315791843e-07
[2025-05-09 02:39:51] Best of swarm: 1.0636650046079082e-10
[2025-05-09 02:39:51] Best of swarm: 5.3400906324003305e-06
[2025-05-09 02:39:52] Best of swarm: 2.0970340340201e-05
[2025-05-09 02:39:52] Best of swarm: 1.692274281380051
[2025-05-09 02:39:52] Best of swarm: 0.0003232118912903683
