[2025-05-09 04:51:53] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=exponential_c1=[1.5,0.5]_c2=[0.5,1.5]_seed=636616
[2025-05-09 04:51:53] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 10, 'cmode': 2, 'c1_start': 1.5, 'c1_end': 0.5, 'c2_start': 0.5, 'c2_end': 1.5, 'seed': 636616, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 04:51:53] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=exponential_c1=[1.5,0.5]_c2=[0.5,1.5]_seed=636616'], 'id': 'well=RO_31A_facies=7_iter=100_p=10_cmode=exponential_c1=[1.5,0.5]_c2=[0.5,1.5]_seed=636616'}
[2025-05-09 04:51:53] Using random seed: 636616
[2025-05-09 04:51:57] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 04:51:57] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 04:51:57] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 04:51:57] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 04:51:57] Data range: 0 to 80
[2025-05-09 04:51:57] Best of swarm: 2.0723745381290115
[2025-05-09 04:51:57] Best of swarm: 6.214914899903329e-08
[2025-05-09 04:51:58] Best of swarm: 1.2123641213287357e-13
[2025-05-09 04:51:59] Best of swarm: 2.6363737638582926e-08
[2025-05-09 04:51:59] Best of swarm: 8.921046169757039e-12
[2025-05-09 04:52:01] Best of swarm: 2.369242910165485e-06
[2025-05-09 04:52:02] Best of swarm: 1.8046548578892858
[2025-05-09 04:52:02] Best of swarm: 8.10535951103122e-09
[2025-05-09 04:52:03] Best of swarm: 2.4859959049175565e-14
[2025-05-09 04:52:03] Best of swarm: 1.3138234744392323e-09
[2025-05-09 04:52:04] Best of swarm: 6.145560748590865e-06
[2025-05-09 04:52:06] Best of swarm: 2.093180795374489e-10
[2025-05-09 04:52:06] Best of swarm: 2.4157690022609932
[2025-05-09 04:52:06] Best of swarm: 0.0009991974212096096
[2025-05-09 04:52:07] Best of swarm: 0.000999212189443802
[2025-05-09 04:52:08] Best of swarm: 0.000999150117644695
[2025-05-09 04:52:08] Best of swarm: 0.0009992487627967371
[2025-05-09 04:52:10] Best of swarm: 0.0009993137733404444
[2025-05-09 04:52:10] Best of swarm: 1.4679125982677055
[2025-05-09 04:52:10] Best of swarm: 5.543584430333074e-12
[2025-05-09 04:52:11] Best of swarm: 8.12392628482269e-07
[2025-05-09 04:52:12] Best of swarm: 1.1262671957007197e-09
[2025-05-09 04:52:12] Best of swarm: 2.0675815219358785e-13
[2025-05-09 04:52:14] Best of swarm: 8.918453937668583e-10
[2025-05-09 04:52:14] Best of swarm: 1.4428200101336806
[2025-05-09 04:52:14] Best of swarm: 4.24519210683811e-08
[2025-05-09 04:52:15] Best of swarm: 1.2240185354748666e-08
[2025-05-09 04:52:16] Best of swarm: 1.2214812233098911e-12
[2025-05-09 04:52:16] Best of swarm: 6.364114975063259e-14
[2025-05-09 04:52:18] Best of swarm: 1.0321290367467702e-11
[2025-05-09 04:52:18] Best of swarm: 1.9273058916602177
