[2025-05-08 17:40:06] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.0,1.0]_c2=[0.5,1.5]_seed=807978
[2025-05-08 17:40:06] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 50, 'particles': 20, 'cmode': 2, 'c1_start': 2.0, 'c1_end': 1.0, 'c2_start': 0.5, 'c2_end': 1.5, 'seed': 807978, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-08 17:40:06] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.0,1.0]_c2=[0.5,1.5]_seed=807978'], 'id': 'well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.0,1.0]_c2=[0.5,1.5]_seed=807978'}
[2025-05-08 17:40:06] Using random seed: 807978
[2025-05-08 17:40:11] HORIZONTE: (2943.6, 3089.8)
[2025-05-08 17:40:11] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-08 17:40:11] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-08 17:40:11] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-08 17:40:11] Data range: 0 to 80
[2025-05-08 17:40:11] Best of swarm: 2.0723745381290115
[2025-05-08 17:40:12] Best of swarm: 1.00639692277097e-08
[2025-05-08 17:40:12] Best of swarm: 3.941305474503742e-06
[2025-05-08 17:40:13] Best of swarm: 1.785295237900355e-07
[2025-05-08 17:40:14] Best of swarm: 6.425660067857727e-10
[2025-05-08 17:40:16] Best of swarm: 3.321040509892981e-08
[2025-05-08 17:40:16] Best of swarm: 1.8046548578892858
[2025-05-08 17:40:16] Best of swarm: 9.148139475871389e-07
[2025-05-08 17:40:17] Best of swarm: 2.529570478672043e-07
[2025-05-08 17:40:18] Best of swarm: 4.1991365543780526e-05
[2025-05-08 17:40:19] Best of swarm: 2.9651853711949425e-06
[2025-05-08 17:40:21] Best of swarm: 2.315307729911159e-06
[2025-05-08 17:40:21] Best of swarm: 2.4157690022609932
[2025-05-08 17:40:22] Best of swarm: 0.0009991495332645865
[2025-05-08 17:40:23] Best of swarm: 0.0009993588427649543
[2025-05-08 17:40:24] Best of swarm: 0.0009993177928665
[2025-05-08 17:40:24] Best of swarm: 0.0009992487627967371
[2025-05-08 17:40:26] Best of swarm: 0.0009993137733404444
[2025-05-08 17:40:27] Best of swarm: 1.4679125982677055
[2025-05-08 17:40:27] Best of swarm: 5.432279409685244e-07
[2025-05-08 17:40:28] Best of swarm: 2.820803810602679e-06
[2025-05-08 17:40:29] Best of swarm: 3.7494735978684405e-06
[2025-05-08 17:40:29] Best of swarm: 1.646289236316965e-06
[2025-05-08 17:40:32] Best of swarm: 1.3212138341908822e-05
