[2025-05-09 04:13:49] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=linear_c1=[2.5,1.5]_c2=[1.0,2.0]_seed=731955
[2025-05-09 04:13:49] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 10, 'cmode': 1, 'c1_start': 2.5, 'c1_end': 1.5, 'c2_start': 1.0, 'c2_end': 2.0, 'seed': 731955, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 04:13:49] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=linear_c1=[2.5,1.5]_c2=[1.0,2.0]_seed=731955'], 'id': 'well=RO_31A_facies=7_iter=100_p=10_cmode=linear_c1=[2.5,1.5]_c2=[1.0,2.0]_seed=731955'}
[2025-05-09 04:13:49] Using random seed: 731955
[2025-05-09 04:13:53] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 04:13:53] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 04:13:53] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 04:13:53] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 04:13:53] Data range: 0 to 80
[2025-05-09 04:13:53] Best of swarm: 2.0723745381290115
[2025-05-09 04:13:53] Best of swarm: 7.474948355612265e-09
[2025-05-09 04:13:54] Best of swarm: 2.4557309105100857e-07
[2025-05-09 04:13:55] Best of swarm: 4.332741069425171e-09
[2025-05-09 04:13:55] Best of swarm: 2.3769842813550161e-07
[2025-05-09 04:13:57] Best of swarm: 0.00010093170410769535
[2025-05-09 04:13:57] Best of swarm: 1.8046548578892858
[2025-05-09 04:13:57] Best of swarm: 3.9454878826184126e-05
[2025-05-09 04:13:58] Best of swarm: 5.346319689559634e-06
[2025-05-09 04:13:59] Best of swarm: 1.2793288572220484e-05
[2025-05-09 04:13:59] Best of swarm: 0.0005776092166819128
[2025-05-09 04:14:01] Best of swarm: 1.1898278618924894e-07
[2025-05-09 04:14:01] Best of swarm: 2.4157690022609932
[2025-05-09 04:14:01] Best of swarm: 0.0009993144581792852
[2025-05-09 04:14:02] Best of swarm: 0.0009993588427649543
[2025-05-09 04:14:03] Best of swarm: 0.0009993177928665
[2025-05-09 04:14:03] Best of swarm: 0.0009992487627967371
[2025-05-09 04:14:05] Best of swarm: 0.0009993137733404444
[2025-05-09 04:14:05] Best of swarm: 1.4679125982677055
[2025-05-09 04:14:06] Best of swarm: 7.5692320914611585e-06
[2025-05-09 04:14:06] Best of swarm: 0.00024655400502460385
[2025-05-09 04:14:07] Best of swarm: 4.602832311642496e-08
[2025-05-09 04:14:08] Best of swarm: 6.47992463560055e-08
[2025-05-09 04:14:09] Best of swarm: 2.7654130158026694e-05
[2025-05-09 04:14:10] Best of swarm: 1.4428200101336806
[2025-05-09 04:14:10] Best of swarm: 0.01042500864902395
[2025-05-09 04:14:11] Best of swarm: 5.855263822577828e-09
[2025-05-09 04:14:11] Best of swarm: 4.3480237812410166e-07
[2025-05-09 04:14:12] Best of swarm: 0.0013780456518936147
[2025-05-09 04:14:14] Best of swarm: 1.2063841123742157e-10
[2025-05-09 04:14:14] Best of swarm: 1.9273058916602177
[2025-05-09 04:14:14] Best of swarm: 8.065961991876768e-11
[2025-05-09 04:14:15] Best of swarm: 9.710870526903177e-06
[2025-05-09 04:14:16] Best of swarm: 7.988195164876009e-07
[2025-05-09 04:14:16] Best of swarm: 0.0009750400514028359
[2025-05-09 04:14:18] Best of swarm: 8.424127183949109e-13
[2025-05-09 04:14:18] Best of swarm: 2.1370768476856217
[2025-05-09 04:14:18] Best of swarm: 2.700523418334473e-07
[2025-05-09 04:14:19] Best of swarm: 1.0709325241343239e-07
[2025-05-09 04:14:20] Best of swarm: 1.0324858796973866e-09
[2025-05-09 04:14:20] Best of swarm: 1.470854431113807e-07
[2025-05-09 04:14:22] Best of swarm: 1.5315217290464703e-07
[2025-05-09 04:14:22] Best of swarm: 2.3121465957113188
[2025-05-09 04:14:23] Best of swarm: 3.007641087597185e-13
[2025-05-09 04:14:23] Best of swarm: 1.5529770240998938e-10
[2025-05-09 04:14:24] Best of swarm: 3.879605841999288e-13
[2025-05-09 04:14:25] Best of swarm: 4.4568593910725245e-10
[2025-05-09 04:14:26] Best of swarm: 8.128727230849462e-10
[2025-05-09 04:14:27] Best of swarm: 2.368134509831766
[2025-05-09 04:14:27] Best of swarm: 0.0002628268486165779
[2025-05-09 04:14:28] Best of swarm: 0.0002628496111464733
[2025-05-09 04:14:28] Best of swarm: 0.0002628285587863548
[2025-05-09 04:14:29] Best of swarm: 0.0002627931577762168
[2025-05-09 04:14:31] Best of swarm: 0.000262826497402358
[2025-05-09 04:14:31] Best of swarm: 2.2361446844634894
[2025-05-09 04:14:31] Best of swarm: 2.7077425676941185e-12
[2025-05-09 04:14:32] Best of swarm: 1.3384474765833442e-07
[2025-05-09 04:14:33] Best of swarm: 2.7201407364117187e-08
[2025-05-09 04:14:33] Best of swarm: 1.181473457581847e-08
[2025-05-09 04:14:35] Best of swarm: 9.527121443948377e-08
[2025-05-09 04:14:35] Best of swarm: 2.148201533349977
[2025-05-09 04:14:35] Best of swarm: 1.0550719851260008e-08
[2025-05-09 04:14:36] Best of swarm: 5.9574765694198044e-05
[2025-05-09 04:14:37] Best of swarm: 3.282713940632547e-07
[2025-05-09 04:14:37] Best of swarm: 2.1350035775051066e-08
