iter,particles,cmode,c1_start,c1_end,c2_start,c2_end,mean_error,std_error,mean_runtime,std_runtime
100,20,0,2.5,2.5,1.5,1.5,0.056557401257264765,8.701747190134708e-05,655.3811853806178,60.36454047516777
50,20,1,2.0,1.0,1.0,2.0,0.05655887099855216,7.10091311158898e-05,341.385667014122,52.9445987887201
50,20,0,1.5,1.5,1.5,1.5,0.05656168033028721,7.147908402769197e-05,328.24321648279823,29.75851556428881
50,10,2,2.5,1.5,0.5,2.5,0.05656828790587168,8.335969703177423e-05,178.77250583171843,11.198888114931025
50,20,2,1.5,0.5,1.0,2.0,0.056571871966812286,7.848474012341773e-05,343.0038157780965,52.64920236104069
50,20,2,2.5,0.5,1.0,2.0,0.05657485461780571,0.00013263742823750295,370.06560237407683,24.488410709154035
100,20,2,2.0,1.0,1.5,2.5,0.05658224056723247,8.913167938549714e-05,618.4928942124048,94.58547918086202
100,10,0,2.5,2.5,1.5,1.5,0.05658533330198903,8.131523249319072e-05,320.86709111531576,33.587731307576234
100,20,2,2.5,0.5,1.5,2.5,0.05658867130445702,9.603341614713928e-05,630.2459431171417,92.53990285368182
50,20,1,2.0,1.0,0.5,2.5,0.056594000870483385,8.024268843261661e-05,346.2558046658834,46.79478662198248
100,20,1,2.0,1.0,1.5,2.5,0.05659480105058857,9.19503570730453e-05,618.6173316001892,76.65172463936041
50,20,1,1.5,0.5,1.0,2.0,0.056599056008392344,7.729731611368594e-05,342.501106095314,55.523356599981035
100,20,1,1.5,0.5,1.5,2.5,0.056604425379049125,0.0001096664241706102,609.8570665041606,85.28458816411715
50,20,1,1.5,0.5,0.5,2.5,0.05660672172072196,0.0001089703542913299,345.2458426316579,47.12422099622712
50,20,2,2.5,1.5,1.0,2.0,0.05661384536401374,7.493520360445518e-05,344.1100931485494,50.976493681256215
50,20,1,2.5,1.5,1.0,2.0,0.056618235031856146,8.430304031155516e-05,343.14101338386536,51.73304437997562
50,20,1,2.5,0.5,1.0,2.0,0.05662416187446699,6.66194237936404e-05,368.9118963479996,26.13818321658113
50,10,1,2.0,1.0,1.0,2.0,0.05664194969508561,8.426686213807618e-05,187.38138129711152,9.055833273949462
50,20,0,2.0,2.0,1.5,1.5,0.05664437645649344,0.00015278827235101585,320.37267705599464,42.31378277938083
50,10,2,2.0,1.0,1.0,2.0,0.0566515254754159,8.846481978026028e-05,178.69526631037394,14.56356115726145
100,20,1,2.5,0.5,1.5,2.5,0.05665524261312718,9.132403366290456e-05,642.467475660642,84.57264258383404
50,20,1,2.5,0.5,0.5,2.5,0.056659467361810455,0.00011387887606422996,367.1610199689865,17.4393177003707
50,10,1,2.0,1.0,0.5,2.5,0.056662677995187836,0.00010507091859737713,186.31092155774434,13.366622857248835
50,10,2,2.5,1.5,1.0,2.0,0.05667676277437646,8.927081487743078e-05,183.2962888320287,8.662261368314978
100,10,2,2.0,1.0,1.5,2.5,0.05669023048834411,0.0001071435032530845,327.1294941266378,49.98476191257397
50,20,1,2.5,1.5,0.5,2.5,0.05669941223454999,0.0001190760129938551,364.2534498612086,23.219992104978868
50,10,2,2.5,0.5,1.0,2.0,0.05670280429776283,0.00010083611115065633,182.96917414665222,10.932221425945425
50,10,1,1.5,0.5,1.0,2.0,0.05670442261732255,0.00014724954948302273,183.97065913677216,11.850100548046328
50,10,1,1.5,0.5,0.5,2.5,0.05670518412380657,0.0001379026979994364,181.5286208709081,13.600277692373199
50,10,0,1.5,1.5,1.5,1.5,0.05670660463435197,0.0001422007498470652,158.1295384009679,26.01227125728747
50,20,0,2.5,2.5,1.5,1.5,0.056713939980628396,0.00010640650822509491,304.634250942866,45.292815204205844
50,10,1,2.5,1.5,1.0,2.0,0.05671974679017242,0.00018287844065325182,182.2506464799245,9.985064979119317
50,10,1,2.5,0.5,1.0,2.0,0.05674331999452928,0.00013744807288078808,185.48286635080973,6.063955856386011
100,10,1,2.0,1.0,1.5,2.5,0.05675185351999956,0.00017945932448096752,321.40721292495726,51.13696112743884
50,10,2,1.5,0.5,1.0,2.0,0.05676140011243689,0.0001391518670079532,186.7599300702413,12.319069950646744
100,10,2,2.5,1.5,1.5,2.5,0.056771493318116865,0.0001482027126965075,330.5688580910365,44.91031485683841
100,10,1,1.5,0.5,1.5,2.5,0.056771865437816114,0.00016614277036097145,321.36474401950835,53.84631707688771
100,20,2,2.5,1.5,1.5,2.5,0.05679260532815012,0.00016194201605040467,614.5872344970703,80.36902300753005
50,10,1,2.5,0.5,0.5,2.5,0.056793643772974196,0.00014909161321930364,181.9969498872757,8.406149604013049
50,10,1,2.5,1.5,0.5,2.5,0.05679631047954838,0.0001810774569963354,181.02943936983743,7.803157221808111
50,10,0,2.0,2.0,1.5,1.5,0.056814594316406584,0.00013308630885617325,156.4362836678823,22.759927280487705
100,10,2,2.5,0.5,1.5,2.5,0.056815406297048725,0.00020834529359737024,341.6772065083186,47.84987403755715
100,20,1,2.5,1.5,1.5,2.5,0.05682515460607422,0.00013563813810872058,602.7106307824453,92.20922559310712
100,10,2,1.5,0.5,1.5,2.5,0.05683059537640591,0.00024280101900126905,328.0364359696706,46.61327571985551
100,10,1,2.5,0.5,1.5,2.5,0.05683930276689042,0.0001346413062692086,326.6298751195272,60.33037862141097
100,10,1,2.5,1.5,1.5,2.5,0.05684691315722001,0.00015841854479256215,326.3424596707026,55.43041565372153
50,20,2,2.0,1.0,1.5,2.5,0.05694911731214835,0.00018401457014829135,343.4325319449107,46.21075063820157
50,20,2,1.5,0.5,1.5,2.5,0.05696998757312286,0.0001920323918630263,340.20543526013694,58.5619332102305
50,20,2,2.5,0.5,1.5,2.5,0.05699449440954377,0.00018773785022255273,375.72583175500233,23.609017693668417
50,10,0,2.5,2.5,1.5,1.5,0.05702886753761145,0.00024208313852463881,154.92746529579162,18.72885977850467
50,20,1,2.0,1.0,1.5,2.5,0.057057195423792915,0.000197661915204261,337.473096370697,48.86993596845401
50,20,1,1.5,0.5,1.5,2.5,0.057071534154619415,0.0002048116841059297,339.585889283816,51.944861668586796
50,20,2,2.5,1.5,1.5,2.5,0.057083441760749774,0.00022520510603011947,344.56769596735637,47.68210914185106
50,20,1,2.5,1.5,1.5,2.5,0.05713100158019077,0.00019287460271846942,345.10927522182465,40.61974945441119
50,20,1,2.5,0.5,1.5,2.5,0.05713793798740674,0.0002049739504661893,367.8676354328791,22.5073780705194
50,10,2,2.0,1.0,1.5,2.5,0.057316492240352915,0.00028435439274890307,185.5843280474345,15.112653568060251
50,10,1,2.0,1.0,1.5,2.5,0.057329314284622665,0.00020004795467378882,187.23660706679027,13.474409067975998
50,10,2,1.5,0.5,1.5,2.5,0.057440827633652845,0.00022754757796927816,183.8238559405009,12.095747903114702
50,10,2,2.5,1.5,1.5,2.5,0.057477095804588665,0.00028871960958359573,184.95762712160746,6.768247648039483
50,10,1,2.5,1.5,1.5,2.5,0.05751737998011864,0.0002775017575934076,181.06985711256664,7.928485311529472
50,10,2,2.5,0.5,1.5,2.5,0.05752189696430117,0.0005271296747247862,183.19064133961996,10.800659997035696
50,10,1,1.5,0.5,1.5,2.5,0.05753542706283567,0.0003272786896694393,185.33029903570812,6.122511659611327
50,10,1,2.5,0.5,1.5,2.5,0.0575582202857604,0.0003973267141849047,183.14421147505442,7.418752341411343
