[2025-05-09 06:39:13] Starting experiment well=RO_31A_facies=7_iter=100_p=20_cmode=exponential_c1=[1.5,0.5]_c2=[1.5,2.5]_seed=445341
[2025-05-09 06:39:13] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 20, 'cmode': 2, 'c1_start': 1.5, 'c1_end': 0.5, 'c2_start': 1.5, 'c2_end': 2.5, 'seed': 445341, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 06:39:13] Starting experiment well=RO_31A_facies=7_iter=100_p=20_cmode=exponential_c1=[1.5,0.5]_c2=[1.5,2.5]_seed=445341'], 'id': 'well=RO_31A_facies=7_iter=100_p=20_cmode=exponential_c1=[1.5,0.5]_c2=[1.5,2.5]_seed=445341'}
[2025-05-09 06:39:13] Using random seed: 445341
[2025-05-09 06:39:17] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 06:39:17] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 06:39:17] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 06:39:17] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 06:39:17] Data range: 0 to 80
[2025-05-09 06:39:18] Best of swarm: 2.0723745381290115
[2025-05-09 06:39:18] Best of swarm: 1.6444149038781964e-06
[2025-05-09 06:39:20] Best of swarm: 1.8952206230349924e-07
[2025-05-09 06:39:21] Best of swarm: 0.00017939477454660173
[2025-05-09 06:39:22] Best of swarm: 1.6446700226561814e-07
[2025-05-09 06:39:26] Best of swarm: 2.64865594054438e-07
[2025-05-09 06:39:26] Best of swarm: 1.8046548578892858
[2025-05-09 06:39:27] Best of swarm: 1.185747693683775e-05
[2025-05-09 06:39:28] Best of swarm: 3.2751711444229035e-05
[2025-05-09 06:39:30] Best of swarm: 2.8676522799943543e-08
[2025-05-09 06:39:31] Best of swarm: 9.005007543402678e-10
[2025-05-09 06:39:34] Best of swarm: 1.8342785092675043e-06
[2025-05-09 06:39:35] Best of swarm: 2.4157690022609932
[2025-05-09 06:39:35] Best of swarm: 0.0009993144581792852
[2025-05-09 06:39:37] Best of swarm: 0.0009991145383318352
[2025-05-09 06:39:38] Best of swarm: 0.000999087233775082
[2025-05-09 06:39:39] Best of swarm: 0.0009992487627967371
[2025-05-09 06:39:43] Best of swarm: 0.0009990951506948552
[2025-05-09 06:39:43] Best of swarm: 1.4679125982677055
[2025-05-09 06:39:44] Best of swarm: 3.310550106546971e-10
[2025-05-09 06:39:45] Best of swarm: 0.00012393965198653282
[2025-05-09 06:39:47] Best of swarm: 5.382102690858059e-08
[2025-05-09 06:39:48] Best of swarm: 6.457442738330526e-08
[2025-05-09 06:39:51] Best of swarm: 1.777724500166405e-10
[2025-05-09 06:39:52] Best of swarm: 1.4428200101336806
[2025-05-09 06:39:52] Best of swarm: 2.3174123543286867e-12
[2025-05-09 06:39:54] Best of swarm: 1.778571023057859e-05
[2025-05-09 06:39:55] Best of swarm: 4.1730375315171776e-07
[2025-05-09 06:39:56] Best of swarm: 5.675661071653162e-08
[2025-05-09 06:40:00] Best of swarm: 1.5366267363932058e-10
[2025-05-09 06:40:00] Best of swarm: 1.9273058916602177
[2025-05-09 06:40:01] Best of swarm: 8.17820230180405e-06
[2025-05-09 06:40:02] Best of swarm: 3.0809573524137056e-07
[2025-05-09 06:40:04] Best of swarm: 1.0599589340942702e-06
[2025-05-09 06:40:05] Best of swarm: 1.6534975400960882e-06
[2025-05-09 06:40:08] Best of swarm: 9.91231689517974e-06
[2025-05-09 06:40:09] Best of swarm: 2.1370768476856217
[2025-05-09 06:40:09] Best of swarm: 6.541636948600121e-07
[2025-05-09 06:40:11] Best of swarm: 2.1286350540247131e-13
[2025-05-09 06:40:12] Best of swarm: 1.001477391100476e-06
[2025-05-09 06:40:13] Best of swarm: 5.769567442502454e-08
[2025-05-09 06:40:17] Best of swarm: 2.770995489426228e-06
[2025-05-09 06:40:17] Best of swarm: 2.3121465957113188
[2025-05-09 06:40:18] Best of swarm: 3.2938159431346395e-10
[2025-05-09 06:40:19] Best of swarm: 5.304787531354506e-10
[2025-05-09 06:40:21] Best of swarm: 1.1767391528794817e-08
[2025-05-09 06:40:22] Best of swarm: 1.5794241352001488e-09
[2025-05-09 06:40:25] Best of swarm: 6.222938279205338e-10
[2025-05-09 06:40:26] Best of swarm: 2.368134509831766
[2025-05-09 06:40:26] Best of swarm: 0.0002627170304213332
[2025-05-09 06:40:28] Best of swarm: 0.000262812618846199
[2025-05-09 06:40:29] Best of swarm: 0.00026281008444188283
[2025-05-09 06:40:30] Best of swarm: 0.0002627931577762168
[2025-05-09 06:40:34] Best of swarm: 0.0002627131471949716
[2025-05-09 06:40:34] Best of swarm: 2.2361446844634894
