[2025-05-09 03:02:44] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,1.5]_seed=477056
[2025-05-09 03:02:44] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 50, 'particles': 20, 'cmode': 2, 'c1_start': 2.5, 'c1_end': 0.5, 'c2_start': 0.5, 'c2_end': 1.5, 'seed': 477056, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 03:02:44] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,1.5]_seed=477056'], 'id': 'well=RO_31A_facies=7_iter=50_p=20_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,1.5]_seed=477056'}
[2025-05-09 03:02:44] Using random seed: 477056
[2025-05-09 03:02:48] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 03:02:48] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 03:02:48] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 03:02:48] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 03:02:48] Data range: 0 to 80
[2025-05-09 03:02:48] Best of swarm: 2.0723745381290115
[2025-05-09 03:02:48] Best of swarm: 1.484191607658609e-08
[2025-05-09 03:02:49] Best of swarm: 2.129737249513164e-06
[2025-05-09 03:02:50] Best of swarm: 3.6863494321473356e-13
[2025-05-09 03:02:50] Best of swarm: 8.053985490855481e-09
[2025-05-09 03:02:52] Best of swarm: 7.74952245095938e-09
[2025-05-09 03:02:52] Best of swarm: 1.8046548578892858
[2025-05-09 03:02:52] Best of swarm: 9.561093826260128e-08
[2025-05-09 03:02:53] Best of swarm: 7.662934373893137e-07
[2025-05-09 03:02:54] Best of swarm: 1.1178507719262736e-09
[2025-05-09 03:02:54] Best of swarm: 6.486461565887811e-07
[2025-05-09 03:02:56] Best of swarm: 1.2637676937836803e-07
[2025-05-09 03:02:56] Best of swarm: 2.4157690022609932
[2025-05-09 03:02:56] Best of swarm: 0.0009993144581792852
[2025-05-09 03:02:57] Best of swarm: 0.0009993588427649543
[2025-05-09 03:02:57] Best of swarm: 0.0009991096156329825
[2025-05-09 03:02:58] Best of swarm: 0.0009990924050425878
[2025-05-09 03:03:00] Best of swarm: 0.0009991206345755983
[2025-05-09 03:03:00] Best of swarm: 1.4679125982677055
[2025-05-09 03:03:00] Best of swarm: 6.675929520621102e-07
[2025-05-09 03:03:01] Best of swarm: 7.579404499881938e-07
[2025-05-09 03:03:02] Best of swarm: 1.6532041579521862e-06
[2025-05-09 03:03:02] Best of swarm: 6.55484248144921e-07
[2025-05-09 03:03:04] Best of swarm: 0.0002289872996807612
[2025-05-09 03:03:04] Best of swarm: 1.4428200101336806
[2025-05-09 03:03:04] Best of swarm: 3.441755286858555e-07
[2025-05-09 03:03:05] Best of swarm: 1.2319898756432068e-08
[2025-05-09 03:03:06] Best of swarm: 6.945202608761626e-08
[2025-05-09 03:03:06] Best of swarm: 1.783464023604674e-11
[2025-05-09 03:03:08] Best of swarm: 8.551277964266516e-09
[2025-05-09 03:03:08] Best of swarm: 1.9273058916602177
[2025-05-09 03:03:08] Best of swarm: 2.1049834089783905e-06
[2025-05-09 03:03:09] Best of swarm: 6.593220562536693e-08
[2025-05-09 03:03:10] Best of swarm: 4.35058264450051e-08
[2025-05-09 03:03:10] Best of swarm: 2.0145267002690096e-07
[2025-05-09 03:03:12] Best of swarm: 7.23589124718665e-07
[2025-05-09 03:03:12] Best of swarm: 2.1370768476856217
[2025-05-09 03:03:13] Best of swarm: 5.694721706047068e-07
[2025-05-09 03:03:13] Best of swarm: 5.310560044852777e-08
[2025-05-09 03:03:14] Best of swarm: 3.6560507571846263e-09
[2025-05-09 03:03:15] Best of swarm: 3.252323302757794e-08
