[2025-05-09 03:59:16] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=linear_c1=[2.5,0.5]_c2=[1.0,2.0]_seed=563022
[2025-05-09 03:59:16] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 10, 'cmode': 1, 'c1_start': 2.5, 'c1_end': 0.5, 'c2_start': 1.0, 'c2_end': 2.0, 'seed': 563022, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 03:59:16] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=linear_c1=[2.5,0.5]_c2=[1.0,2.0]_seed=563022'], 'id': 'well=RO_31A_facies=7_iter=100_p=10_cmode=linear_c1=[2.5,0.5]_c2=[1.0,2.0]_seed=563022'}
[2025-05-09 03:59:16] Using random seed: 563022
[2025-05-09 03:59:20] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 03:59:20] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 03:59:20] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 03:59:20] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 03:59:20] Data range: 0 to 80
[2025-05-09 03:59:20] Best of swarm: 2.0723745381290115
[2025-05-09 03:59:20] Best of swarm: 4.395745452905199e-09
[2025-05-09 03:59:21] Best of swarm: 3.3656824165219876e-08
[2025-05-09 03:59:22] Best of swarm: 7.757422867306468e-09
[2025-05-09 03:59:22] Best of swarm: 1.9652442478534613e-07
[2025-05-09 03:59:24] Best of swarm: 4.877285223709356e-07
[2025-05-09 03:59:24] Best of swarm: 1.8046548578892858
[2025-05-09 03:59:24] Best of swarm: 4.071295234372627e-14
[2025-05-09 03:59:25] Best of swarm: 1.3105224240102165e-06
[2025-05-09 03:59:26] Best of swarm: 5.7935016324005136e-05
[2025-05-09 03:59:26] Best of swarm: 1.0968074323867969e-07
[2025-05-09 03:59:28] Best of swarm: 9.372108154814049e-07
[2025-05-09 03:59:28] Best of swarm: 2.4157690022609932
[2025-05-09 03:59:29] Best of swarm: 0.0009993144581792852
[2025-05-09 03:59:29] Best of swarm: 0.0009993588427649543
[2025-05-09 03:59:30] Best of swarm: 0.0009990796811573217
[2025-05-09 03:59:30] Best of swarm: 0.0009991030265513142
[2025-05-09 03:59:32] Best of swarm: 0.0009991195367304259
[2025-05-09 03:59:32] Best of swarm: 1.4679125982677055
[2025-05-09 03:59:32] Best of swarm: 4.887739881446544e-07
[2025-05-09 03:59:33] Best of swarm: 7.986633186918421e-08
[2025-05-09 03:59:34] Best of swarm: 1.750445281002349e-08
[2025-05-09 03:59:34] Best of swarm: 4.259066502480424e-06
[2025-05-09 03:59:36] Best of swarm: 2.7239081167524667e-07
[2025-05-09 03:59:36] Best of swarm: 1.4428200101336806
[2025-05-09 03:59:36] Best of swarm: 0.004127665472611893
[2025-05-09 03:59:37] Best of swarm: 2.049844852251053e-08
[2025-05-09 03:59:38] Best of swarm: 6.215084897622203e-08
[2025-05-09 03:59:38] Best of swarm: 9.285888413122878e-10
[2025-05-09 03:59:40] Best of swarm: 2.756087676629867e-10
[2025-05-09 03:59:40] Best of swarm: 1.9273058916602177
[2025-05-09 03:59:41] Best of swarm: 5.5261699208625335e-08
[2025-05-09 03:59:41] Best of swarm: 2.394882147837002e-08
[2025-05-09 03:59:42] Best of swarm: 1.5907313013214755e-07
[2025-05-09 03:59:43] Best of swarm: 1.7055919254564385e-07
[2025-05-09 03:59:44] Best of swarm: 4.844477332938066e-07
[2025-05-09 03:59:45] Best of swarm: 2.1370768476856217
[2025-05-09 03:59:45] Best of swarm: 2.541524099924263e-16
[2025-05-09 03:59:46] Best of swarm: 2.483463668810407e-07
[2025-05-09 03:59:46] Best of swarm: 1.311575197101786e-05
[2025-05-09 03:59:47] Best of swarm: 1.1792176478178281e-06
[2025-05-09 03:59:49] Best of swarm: 1.8678384965003977e-08
[2025-05-09 03:59:49] Best of swarm: 2.3121465957113188
[2025-05-09 03:59:49] Best of swarm: 8.567645812640973e-08
[2025-05-09 03:59:50] Best of swarm: 9.9675007181946e-08
[2025-05-09 03:59:51] Best of swarm: 5.858665691310576e-10
[2025-05-09 03:59:51] Best of swarm: 1.1666521235633059e-11
[2025-05-09 03:59:53] Best of swarm: 6.273621467940562e-09
[2025-05-09 03:59:53] Best of swarm: 2.368134509831766
[2025-05-09 03:59:53] Best of swarm: 0.0002627066773202884
[2025-05-09 03:59:54] Best of swarm: 0.0002628496111464733
[2025-05-09 03:59:55] Best of swarm: 0.0002628285587863548
[2025-05-09 03:59:55] Best of swarm: 0.0002627059698738042
[2025-05-09 03:59:57] Best of swarm: 0.00026276550956265036
[2025-05-09 03:59:57] Best of swarm: 2.2361446844634894
[2025-05-09 03:59:57] Best of swarm: 5.944356811842931e-07
[2025-05-09 03:59:58] Best of swarm: 1.3001979625316792e-05
[2025-05-09 03:59:59] Best of swarm: 1.3199572890669094e-07
[2025-05-09 03:59:59] Best of swarm: 2.196371797427443e-08
[2025-05-09 04:00:01] Best of swarm: 2.8580093505023938e-08
[2025-05-09 04:00:01] Best of swarm: 2.148201533349977
[2025-05-09 04:00:02] Best of swarm: 2.3767628901348956e-06
[2025-05-09 04:00:02] Best of swarm: 9.37119219811901e-08
[2025-05-09 04:00:03] Best of swarm: 3.5427545629463755e-05
[2025-05-09 04:00:04] Best of swarm: 5.990841013089152e-09
[2025-05-09 04:00:05] Best of swarm: 1.8337685964559186e-06
[2025-05-09 04:00:06] Best of swarm: 2.08708420731012
[2025-05-09 04:00:06] Best of swarm: 2.629214617423512e-06
[2025-05-09 04:00:07] Best of swarm: 2.833580092874605e-07
[2025-05-09 04:00:07] Best of swarm: 1.2544552618673212e-08
[2025-05-09 04:00:08] Best of swarm: 9.406350624227639e-08
[2025-05-09 04:00:10] Best of swarm: 6.372700498472662e-05
[2025-05-09 04:00:10] Best of swarm: 1.7412766750441142
[2025-05-09 04:00:10] Best of swarm: 1.0901957914281123e-05
[2025-05-09 04:00:11] Best of swarm: 3.3680891137762087e-10
[2025-05-09 04:00:12] Best of swarm: 1.0662697977633412e-05
[2025-05-09 04:00:12] Best of swarm: 0.0015550290506071002
[2025-05-09 04:00:14] Best of swarm: 4.3290656188303904e-07
[2025-05-09 04:00:14] Best of swarm: 1.9852089430423632
[2025-05-09 04:00:14] Best of swarm: 9.489069430392783e-07
[2025-05-09 04:00:15] Best of swarm: 5.262350938531532e-06
[2025-05-09 04:00:16] Best of swarm: 7.216252424274456e-10
[2025-05-09 04:00:16] Best of swarm: 7.160418770214325e-08
[2025-05-09 04:00:18] Best of swarm: 6.090625635057094e-08
[2025-05-09 04:00:18] Best of swarm: 2.2830437266645265
[2025-05-09 04:00:19] Best of swarm: 7.066769822302684e-10
[2025-05-09 04:00:19] Best of swarm: 1.4088919219634652e-07
[2025-05-09 04:00:20] Best of swarm: 1.1810376964202913e-06
[2025-05-09 04:00:20] Best of swarm: 9.98845961758843e-07
[2025-05-09 04:00:22] Best of swarm: 1.1788736586411641e-07
[2025-05-09 04:00:22] Best of swarm: 2.310626271281798
[2025-05-09 04:00:23] Best of swarm: 3.624051283387204e-09
[2025-05-09 04:00:23] Best of swarm: 5.601298955796138e-09
[2025-05-09 04:00:24] Best of swarm: 5.918978095468581e-10
[2025-05-09 04:00:25] Best of swarm: 5.654086149457555e-07
[2025-05-09 04:00:26] Best of swarm: 7.236062363690977e-08
[2025-05-09 04:00:27] Best of swarm: 1.8615175839291427
[2025-05-09 04:00:27] Best of swarm: 6.789262867635e-07
[2025-05-09 04:00:28] Best of swarm: 1.114149980977276e-06
[2025-05-09 04:00:28] Best of swarm: 6.779775577712651e-11
[2025-05-09 04:00:29] Best of swarm: 5.434200879155932e-08
[2025-05-09 04:00:31] Best of swarm: 1.0258929780085185e-08
[2025-05-09 04:00:31] Best of swarm: 1.692274281380051
[2025-05-09 04:00:31] Best of swarm: 0.00018899955429768885
[2025-05-09 04:00:32] Best of swarm: 5.203467835164156e-07
[2025-05-09 04:00:33] Best of swarm: 0.00030063777422090915
[2025-05-09 04:00:33] Best of swarm: 3.64522784811165e-08
[2025-05-09 04:00:35] Best of swarm: 1.3207136422741396e-07
[2025-05-09 04:00:35] Best of swarm: 1.692274281380051
[2025-05-09 04:00:35] Best of swarm: 2.5423129006189873e-05
[2025-05-09 04:00:36] Best of swarm: 4.195103256093439e-06
[2025-05-09 04:00:37] Best of swarm: 3.514452820639299e-07
[2025-05-09 04:00:37] Best of swarm: 2.942080383811852e-06
[2025-05-09 04:00:39] Best of swarm: 3.944605633617572e-09
[2025-05-09 04:00:39] Best of swarm: 1.4844362505091833
[2025-05-09 04:00:40] Best of swarm: 1.5544862772070915e-05
[2025-05-09 04:00:40] Best of swarm: 5.1593869147759074e-08
[2025-05-09 04:00:41] Best of swarm: 3.762909016054234e-05
[2025-05-09 04:00:42] Best of swarm: 6.795658212802076e-06
[2025-05-09 04:00:43] Best of swarm: 8.305410071237086e-05
[2025-05-09 04:00:44] Best of swarm: 1.5469748315288199
[2025-05-09 04:00:44] Best of swarm: 4.53004745822623e-12
[2025-05-09 04:00:45] Best of swarm: 2.851635451872731e-08
[2025-05-09 04:00:45] Best of swarm: 5.439481577516802e-10
[2025-05-09 04:00:46] Best of swarm: 2.7204902072318465e-14
[2025-05-09 04:00:48] Best of swarm: 1.0424922120316792e-09
[2025-05-09 04:00:48] Best of swarm: 1.6001603073404849
[2025-05-09 04:00:48] Best of swarm: 1.2127586848404044e-06
[2025-05-09 04:00:49] Best of swarm: 7.266957442964979e-10
[2025-05-09 04:00:50] Best of swarm: 3.2892623172591917e-06
[2025-05-09 04:00:50] Best of swarm: 3.6165992561329097e-06
