[2025-05-09 02:39:06] Starting experiment well=RO_31A_facies=7_iter=50_p=10_cmode=exponential_c1=[2.0,1.0]_c2=[0.5,1.5]_seed=397057
[2025-05-09 02:39:06] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 50, 'particles': 10, 'cmode': 2, 'c1_start': 2.0, 'c1_end': 1.0, 'c2_start': 0.5, 'c2_end': 1.5, 'seed': 397057, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 02:39:06] Starting experiment well=RO_31A_facies=7_iter=50_p=10_cmode=exponential_c1=[2.0,1.0]_c2=[0.5,1.5]_seed=397057'], 'id': 'well=RO_31A_facies=7_iter=50_p=10_cmode=exponential_c1=[2.0,1.0]_c2=[0.5,1.5]_seed=397057'}
[2025-05-09 02:39:06] Using random seed: 397057
[2025-05-09 02:39:10] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 02:39:10] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 02:39:10] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 02:39:10] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 02:39:10] Data range: 0 to 80
[2025-05-09 02:39:11] Best of swarm: 2.0723745381290115
[2025-05-09 02:39:11] Best of swarm: 3.2870022297932938e-06
[2025-05-09 02:39:11] Best of swarm: 5.552920661418782e-09
[2025-05-09 02:39:11] Best of swarm: 6.547239853833045e-07
[2025-05-09 02:39:12] Best of swarm: 4.831460568086097e-07
[2025-05-09 02:39:13] Best of swarm: 3.0681070335328916e-06
[2025-05-09 02:39:13] Best of swarm: 1.8046548578892858
[2025-05-09 02:39:13] Best of swarm: 1.1415568998477558e-07
[2025-05-09 02:39:13] Best of swarm: 8.80324201670968e-06
[2025-05-09 02:39:14] Best of swarm: 1.392396350962299e-06
[2025-05-09 02:39:14] Best of swarm: 3.3678577366964927e-07
[2025-05-09 02:39:15] Best of swarm: 2.916319319252028e-07
[2025-05-09 02:39:15] Best of swarm: 2.4157690022609932
[2025-05-09 02:39:15] Best of swarm: 0.0009993144581792852
[2025-05-09 02:39:15] Best of swarm: 0.0009993588427649543
[2025-05-09 02:39:16] Best of swarm: 0.0009993177928665
[2025-05-09 02:39:16] Best of swarm: 0.0009992487627967371
[2025-05-09 02:39:17] Best of swarm: 0.0009993137733404444
[2025-05-09 02:39:17] Best of swarm: 1.4679125982677055
[2025-05-09 02:39:17] Best of swarm: 1.2276223168439495e-08
[2025-05-09 02:39:17] Best of swarm: 1.2486084801847382e-07
[2025-05-09 02:39:18] Best of swarm: 3.7724844654080375e-06
[2025-05-09 02:39:18] Best of swarm: 9.415488010697253e-08
[2025-05-09 02:39:19] Best of swarm: 4.4392365319094604e-07
[2025-05-09 02:39:19] Best of swarm: 1.4428200101336806
[2025-05-09 02:39:19] Best of swarm: 4.928536401211287e-07
[2025-05-09 02:39:20] Best of swarm: 8.055634513468838e-07
[2025-05-09 02:39:20] Best of swarm: 2.3577762230146887e-08
[2025-05-09 02:39:20] Best of swarm: 2.0777676438552632e-10
[2025-05-09 02:39:21] Best of swarm: 1.6990266819981562e-07
[2025-05-09 02:39:21] Best of swarm: 1.9273058916602177
[2025-05-09 02:39:21] Best of swarm: 6.791796349952826e-07
[2025-05-09 02:39:22] Best of swarm: 8.490027072981409e-10
[2025-05-09 02:39:22] Best of swarm: 3.3670646788342116e-07
[2025-05-09 02:39:22] Best of swarm: 8.881819564029168e-09
[2025-05-09 02:39:23] Best of swarm: 6.8503361561180815e-09
[2025-05-09 02:39:23] Best of swarm: 2.1370768476856217
