[2025-05-09 04:54:35] Starting experiment well=RO_31A_facies=7_iter=100_p=20_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,2.5]_seed=602688
[2025-05-09 04:54:35] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 20, 'cmode': 2, 'c1_start': 2.5, 'c1_end': 0.5, 'c2_start': 0.5, 'c2_end': 2.5, 'seed': 602688, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 04:54:35] Starting experiment well=RO_31A_facies=7_iter=100_p=20_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,2.5]_seed=602688'], 'id': 'well=RO_31A_facies=7_iter=100_p=20_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,2.5]_seed=602688'}
[2025-05-09 04:54:35] Using random seed: 602688
[2025-05-09 04:54:39] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 04:54:39] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 04:54:39] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 04:54:39] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 04:54:39] Data range: 0 to 80
[2025-05-09 04:54:39] Best of swarm: 2.0723745381290115
[2025-05-09 04:54:40] Best of swarm: 4.77560027048521e-09
[2025-05-09 04:54:41] Best of swarm: 4.03093030141792e-09
[2025-05-09 04:54:43] Best of swarm: 1.3695091920164255e-11
[2025-05-09 04:54:44] Best of swarm: 7.876381922680188e-10
[2025-05-09 04:54:47] Best of swarm: 9.912999859645926e-11
[2025-05-09 04:54:48] Best of swarm: 1.8046548578892858
[2025-05-09 04:54:48] Best of swarm: 2.7507150970521064e-09
[2025-05-09 04:54:50] Best of swarm: 2.5708486718771083e-08
[2025-05-09 04:54:51] Best of swarm: 5.626775504754357e-07
[2025-05-09 04:54:52] Best of swarm: 6.986902889404332e-07
[2025-05-09 04:54:56] Best of swarm: 6.1144901421448994e-09
[2025-05-09 04:54:56] Best of swarm: 2.4157690022609932
[2025-05-09 04:54:57] Best of swarm: 0.0009991494840725368
[2025-05-09 04:54:58] Best of swarm: 0.0009993588427649543
[2025-05-09 04:55:00] Best of swarm: 0.0009993177928665
[2025-05-09 04:55:00] Best of swarm: 0.0009990884684538577
[2025-05-09 04:55:04] Best of swarm: 0.0009991545093128338
[2025-05-09 04:55:04] Best of swarm: 1.4679125982677055
[2025-05-09 04:55:05] Best of swarm: 4.744296552086613e-09
[2025-05-09 04:55:06] Best of swarm: 5.350542394420125e-12
[2025-05-09 04:55:08] Best of swarm: 8.383443485572102e-07
[2025-05-09 04:55:09] Best of swarm: 3.3774189173574315e-08
[2025-05-09 04:55:13] Best of swarm: 3.2149775331377723e-09
[2025-05-09 04:55:13] Best of swarm: 1.4428200101336806
[2025-05-09 04:55:13] Best of swarm: 1.1703300112794738e-06
[2025-05-09 04:55:15] Best of swarm: 8.192766314390716e-08
[2025-05-09 04:55:17] Best of swarm: 7.634128490744325e-12
[2025-05-09 04:55:17] Best of swarm: 2.6771472958764255e-15
[2025-05-09 04:55:21] Best of swarm: 1.230438284412853e-09
[2025-05-09 04:55:21] Best of swarm: 1.9273058916602177
[2025-05-09 04:55:22] Best of swarm: 4.451167291576088e-11
[2025-05-09 04:55:23] Best of swarm: 2.6153456865327138e-11
[2025-05-09 04:55:25] Best of swarm: 7.856367862164374e-06
